"Guid","Name","SBQQ__Alignment__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeadingField__c","SBQQ__ConditionalPrintField__c","SBQQ__DisplayOrder__c","SBQQ__DynamicNumberScale__c","SBQQ__FieldName__c","SBQQ__FontFamily__c","SBQQ__FontSize__c","SBQQ__FontWeight__c","SBQQ__HeadingTextColor__c","SBQQ__HideOnComponents__c","SBQQ__LeftMargin__c","SBQQ__RightMargin__c","SBQQ__RollUp__c","SBQQ__Section__c","SBQQ__SeparateLine__c","SBQQ__SubGroupSummaryLabel__c","SBQQ__SummaryFontWeight__c","SBQQ__SummaryFunction__c","SBQQ__SummaryLabel__c","SBQQ__SummaryLevel__c","SBQQ__SummaryShadingColor__c","SBQQ__SummaryTextColor__c","SBQQ__Template__c","SBQQ__TextColor__c","SBQQ__TopMargin__c","SBQQ__WidthDiscardedWhenHidden__c","SBQQ__Width__c"
7aa4096a-d54d-41b5-98fb-6cd303ae59df,LIST PRICE,Right,"#N/A","#N/A",Print_List_Prices__c,40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",73533eb4-5d49-4473-9aaf-ff7325ec4f50,"#N/A","#N/A",false,10.0
850ae49e-c785-4d97-b413-83d38b20951b,EXTENDED,Right,"#N/A","#N/A",Print_Line_Item_Prices__c,60.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",5c7a32d8-8b92-43c9-8206-b2da4cb27885,"#N/A","#N/A",false,15.0
88451907-f03d-41ce-a389-d1c48dd4eab8,UNIT PRICE,Right,3.0,"#N/A","#N/A",40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",5c7a32d8-8b92-43c9-8206-b2da4cb27885,"#N/A",3.0,false,10.0
9008513d-4d9a-4129-88a6-152b1069cb18,DISC (%),Right,"#N/A","#N/A",Print_Discounts__c,50.0,false,SBQQ__TotalDiscountRate__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",2dabe537-10e5-41c2-a6bf-96860cdb7bf7,"#N/A","#N/A",false,10.0
98d87df2-84c0-4d4c-9435-ae2b6b960fe3,PART #,Left,"#N/A","#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",2dabe537-10e5-41c2-a6bf-96860cdb7bf7,"#N/A","#N/A",false,15.0
9f747bce-7251-41f2-9bd5-c0f204a18f02,DESCRIPTION,Left,"#N/A","#N/A",Print_Descriptions__c,30.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",2dabe537-10e5-41c2-a6bf-96860cdb7bf7,"#N/A","#N/A",true,45.0
b112aad1-b050-4db0-bb31-1b2f94c45cc5,PRODUCT,Left,"#N/A","#N/A",Print_Names__c,30.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",2dabe537-10e5-41c2-a6bf-96860cdb7bf7,"#N/A","#N/A",true,45.0
cc181bb9-27a9-496c-94ef-a27df270c515,QTY,Left,"#N/A","#N/A","#N/A",10.0,false,SBQQ__Quantity__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",2dabe537-10e5-41c2-a6bf-96860cdb7bf7,"#N/A","#N/A",false,5.0
e153eae1-5a67-4bc0-b802-9c63e6449015,DISC (%),Right,"#N/A","#N/A",Print_Discounts__c,50.0,false,SBQQ__TotalDiscountRate__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",73533eb4-5d49-4473-9aaf-ff7325ec4f50,"#N/A","#N/A",false,10.0
e8a5615f-c7a8-46be-b140-490aa30e29f6,PART #,Left,"#N/A","#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",5c7a32d8-8b92-43c9-8206-b2da4cb27885,"#N/A","#N/A",false,15.0
f510c41e-cfcf-43f6-99de-cd4342ff0f60,DESCRIPTION,Left,"#N/A","#N/A",Print_Descriptions__c,30.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",73533eb4-5d49-4473-9aaf-ff7325ec4f50,"#N/A","#N/A",true,45.0
