"Guid","SBQQ__Active__c","SBQQ__AscendingNestedLevel__c","SBQQ__DescendingActionNesting__c","SBQQ__DescendingNestedLevel__c","SBQQ__ProductFeature__c","SBQQ__ProductRule__c","SBQQ__Product__c"
505b1dfd-7671-4d85-895e-0186a7a50d52,true,"#N/A","#N/A","#N/A","#N/A",186f03cf-38eb-4ca0-8a9f-0dd366615e60,e7e6c882-f07d-4645-97bc-a7f419d8f356
7a88f5be-7d29-400b-8614-811bbdd3e455,true,"#N/A","#N/A","#N/A","#N/A",3d9e398f-4759-418f-8787-f9bac9372b45,e7e6c882-f07d-4645-97bc-a7f419d8f356
7e4c40f7-0f37-4ba5-bec1-36f8fd476712,true,"#N/A","#N/A","#N/A","#N/A",93bf766a-4e04-4877-8054-8d9326130a6e,e7e6c882-f07d-4645-97bc-a7f419d8f356
8d25d995-2b21-497c-aa2b-81a903335b13,true,"#N/A","#N/A","#N/A","#N/A",cf61c7e7-a131-4d26-bb2e-d4b9246f4a40,e7e6c882-f07d-4645-97bc-a7f419d8f356
