"Guid","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Product__c","SBQQ__Required__c","SBQQ__Rule__c","SBQQ__Type__c","SBQQ__ValueAttribute__c","SBQQ__ValueField__c","SBQQ__ValueObject__c"
3958f787-6da9-4f28-8bb2-166a8f3fbf51,"#N/A","#N/A","#N/A",edc1c251-ece2-424e-b25b-c1100b22387a,true,186f03cf-38eb-4ca0-8a9f-0dd366615e60,Add,"#N/A","#N/A","#N/A"
9181da8c-9ee6-47f7-8ef2-d797cac6b5fb,"#N/A","#N/A","#N/A",edc1c251-ece2-424e-b25b-c1100b22387a,false,cf61c7e7-a131-4d26-bb2e-d4b9246f4a40,Remove,"#N/A","#N/A","#N/A"
cb3bbd80-8c59-4080-af40-a04681de21c0,"#N/A","#N/A","#N/A",7e43479d-1544-4d40-b4bd-c512523dad70,true,cf61c7e7-a131-4d26-bb2e-d4b9246f4a40,Add,"#N/A","#N/A","#N/A"
d80911d9-c61a-4999-a42b-b3ab2d7e8fae,"#N/A","#N/A","#N/A",7e43479d-1544-4d40-b4bd-c512523dad70,false,186f03cf-38eb-4ca0-8a9f-0dd366615e60,Remove,"#N/A","#N/A","#N/A"
