Guid,Name,SBQQ__Template__c,SBQQ__Alignment__c,SBQQ__BottomMargin__c,SBQQ__ColumnHeadingField__c,SBQQ__ConditionalPrintField__c,SBQQ__DisplayOrder__c,SBQQ__DynamicNumberScale__c,SBQQ__FieldName__c,SBQQ__FontFamily__c,SBQQ__FontSize__c,SBQQ__FontWeight__c,SBQQ__HeadingTextColor__c,SBQQ__HideOnComponents__c,SBQQ__LeftMargin__c,SBQQ__RightMargin__c,SBQQ__RollUp__c,SBQQ__Section__c,SBQQ__SeparateLine__c,SBQQ__SubGroupSummaryLabel__c,SBQQ__SummaryFontWeight__c,SBQQ__SummaryFunction__c,SBQQ__SummaryLabel__c,SBQQ__SummaryLevel__c,SBQQ__SummaryShadingColor__c,SBQQ__SummaryTextColor__c,SBQQ__TextColor__c,SBQQ__TopMargin__c,SBQQ__WidthDiscardedWhenHidden__c,SBQQ__Width__c
2bc1ca58-765c-48ef-85e7-898f1a9835ce,UNIT PRICE,14d36279-4059-43a7-b086-d863295dfc7d,Right,3.0,#N/A,#N/A,40.0,false,SBQQ__ListPrice__c,#N/A,#N/A,Normal,#N/A,false,3.0,3.0,false,#N/A,false,#N/A,#N/A,#N/A,#N/A,All,#N/A,#N/A,#N/A,3.0,false,10.0
2eeaa2e5-c936-4b98-ad79-d62316d68d6d,EXTENDED,14d36279-4059-43a7-b086-d863295dfc7d,Right,3.0,#N/A,#N/A,60.0,false,SBQQ__NetTotal__c,#N/A,#N/A,Normal,#N/A,false,3.0,3.0,false,#N/A,false,#N/A,#N/A,#N/A,#N/A,All,#N/A,#N/A,#N/A,3.0,false,15.0
8310ba88-904c-400c-a71d-e49dc83e5794,PART #,14d36279-4059-43a7-b086-d863295dfc7d,Left,3.0,#N/A,#N/A,20.0,false,SBQQ__ProductCode__c,#N/A,#N/A,Normal,#N/A,false,3.0,3.0,false,#N/A,false,#N/A,#N/A,#N/A,#N/A,All,#N/A,#N/A,#N/A,3.0,false,10.0
bc76f066-d0e3-4449-bc0c-d2671d9e58a0,MyHeading,14d36279-4059-43a7-b086-d863295dfc7d,Left,3.0,#N/A,#N/A,1.0,false,MyHeadingFieldName,#N/A,#N/A,Normal,#N/A,false,3.0,3.0,false,#N/A,false,#N/A,#N/A,#N/A,#N/A,All,#N/A,#N/A,#N/A,3.0,false,1123.0
47bdb55b-0181-47e6-86aa-06856ec62fd9,DESCRIPTION,14d36279-4059-43a7-b086-d863295dfc7d,Left,3.0,#N/A,#N/A,30.0,false,SBQQ__Description__c,#N/A,#N/A,Normal,#N/A,false,3.0,3.0,false,#N/A,false,#N/A,#N/A,#N/A,#N/A,All,#N/A,#N/A,#N/A,3.0,false,50.0
4996f9b8-21d1-4bec-9175-dc57d8f5e7b7,DISC (%),14d36279-4059-43a7-b086-d863295dfc7d,Right,3.0,#N/A,#N/A,50.0,false,SBQQ__Discount__c,#N/A,#N/A,Normal,#N/A,false,3.0,3.0,false,#N/A,false,#N/A,#N/A,#N/A,#N/A,All,#N/A,#N/A,#N/A,3.0,false,10.0
455ae7f7-59e5-4994-974f-04d3c4438c95,QTY,14d36279-4059-43a7-b086-d863295dfc7d,Left,3.0,#N/A,#N/A,11.0,false,SBQQ__Quantity__c,#N/A,#N/A,Normal,#N/A,false,3.0,3.0,false,#N/A,false,#N/A,#N/A,#N/A,#N/A,All,#N/A,#N/A,#N/A,3.0,false,22.0
bc76f066-d0e3-4449-bc0c-d2671d9e58a0,MyHeading2,14d36279-4059-43a7-b086-d863295dfc7d,Left,3.0,#N/A,#N/A,1.0,false,MyHeadingFieldName,#N/A,#N/A,Normal,#N/A,false,3.0,3.0,false,#N/A,false,#N/A,#N/A,#N/A,#N/A,All,#N/A,#N/A,#N/A,3.0,false,1123.0
