Guid,Name,SBQQ__Action__c,SBQQ__Active__c,SBQQ__BrandButton__c,SBQQ__Class__c,SBQQ__ConditionsMet__c,SBQQ__Default__c,SBQQ__Description__c,SBQQ__DisplayOrder__c,SBQQ__EventHandlerName__c,SBQQ__IconClass__c,SBQQ__Icon__c,SBQQ__Label__c,SBQQ__Location__c,SBQQ__PageHandlerName__c,SBQQ__Page__c,SBQQ__ParentCustomAction__c,SBQQ__ReturnURL__c,SBQQ__TargetObject__c,SBQQ__Type__c,SBQQ__URLTarget__c,SBQQ__URL__c
570ba9f9-2061-4f24-abee-9cd2b088ba76,Reset Discounts - Group,Reset Discounts,true,false,resetDiscBtn,All,false,#N/A,954.0,onResetDiscounts,#N/A,#N/A,Reset Discounts,Group,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
2b43b153-79ac-436c-8283-d7169ec0ca72,Resegment Line,Resegment Line,true,false,resegmentBtn,All,false,#N/A,996.0,onResegmentLine,sf-icon-magicwand,magicwand,Resegment Line,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
6543b024-ec0e-4e19-86b2-7b29bd58b8f6,Reset Discounts - Quote,Reset Discounts,false,false,resetDiscBtn,All,false,#N/A,908.0,onResetDiscounts,sf-icon-undo,undo,Reset Discounts,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
818590b3-0a29-4b9f-9ca7-adebde5c03c6,Optional: None - Quote,Optional: None,true,false,optionalNoneBtn,All,false,#N/A,910.0,updateLineOptional,sb-icon-dot-circled,dot-circled,Optional: None,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
1fc6179d-47dc-4152-b4df-e64bc64dc633,Upgrade Assets,Upgrade Assets,true,false,upgradeAssetsBtn,All,false,#N/A,902.0,onUpgradeAssets,#N/A,#N/A,Upgrade Assets,Quote/Group,#N/A,Quote Line Editor,4a73946f-a347-4ff8-9956-80f9909e6707,#N/A,#N/A,Button,#N/A,#N/A
aba1fa16-3977-44b0-9a6e-b916aaa92548,Calculate,Calculate,true,false,calculateBtn,All,false,#N/A,913.0,onFlagCalculate,#N/A,#N/A,Calculate,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
19fd5d3d-5467-4900-ae23-5e0f8d520ef0,Amend Subscriptions,Amend Subscriptions,true,false,amendSubscriptionsBtn,All,false,#N/A,901.0,onAmendSubscriptions,#N/A,#N/A,Amend Subscriptions,Quote/Group,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
e487a530-fae7-4d5a-a5a4-fcb1fe6fdea7,Delete Line,Delete Line,true,false,deleteBtn,All,false,#N/A,994.0,onDeleteLine,sf-icon-delete,delete,Delete Line,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
14a67845-d63d-4c75-a434-9eb9aa905f72,Add Recommendations,Add Recommendations,false,false,addRecommendedProductsBtn,All,false,#N/A,920.0,onAddRecommendedProducts,#N/A,#N/A,Add Recommendations,Quote/Group,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
825c429a-69fa-4de5-af0a-c33afcc1ce10,Launch External,#N/A,true,false,#N/A,All,false,#N/A,900.0,#N/A,#N/A,#N/A,Launch External,Configurator,#N/A,Product Configurator,#N/A,#N/A,#N/A,Button,Popup,{!$Setup.GeneralSettings__c.ExternalConfigurationURL__c}
d0d7c6f9-04a4-4883-bdca-f56311ce3dfc,Save,Save,true,true,saveBtn,All,false,#N/A,916.0,onSave,#N/A,#N/A,Save,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
a237dc46-0148-43bb-a8a6-589df52ddbab,Optional: All - Group,Optional: All,true,false,optionalAllBtn,All,false,#N/A,952.0,updateLineOptional,#N/A,#N/A,Optional: All,Group,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
abe14636-8142-4dda-b5cf-ee04855a3cd7,Separator,#N/A,true,false,#N/A,All,false,#N/A,911.0,#N/A,sbToolSeparator,#N/A,Add Products,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Separator,#N/A,#N/A
f6111855-3e0e-4eee-a677-36bd9ffeda39,Separator,#N/A,true,false,#N/A,All,false,#N/A,901.5,#N/A,sbToolSeparator,#N/A,Add Products,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Separator,#N/A,#N/A
